url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,126,89
/sap/e-mobility-charging-stations-simulator,26,16
/SAP/e-mobility-charging-stations-simulator/tree/main,17,8
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,12,10
/SAP/e-mobility-charging-stations-simulator/issues,10,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src,7,5
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/ui-protocol/Insomnia-CSSimulatorUIHTTPProtocol.json,7,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,5,5
/SAP/e-mobility-charging-stations-simulator/pulls,5,3
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,4,4
