url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,115,72
/sap/e-mobility-charging-stations-simulator,19,14
/SAP/e-mobility-charging-stations-simulator/tree/main,13,8
/SAP/e-mobility-charging-stations-simulator/issues,12,7
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,9,6
/SAP/e-mobility-charging-stations-simulator/pulls,8,7
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,7,4
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,6,3
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,6,3
/SAP/e-mobility-charging-stations-simulator/blob/main/.github/copilot-instructions.md,5,5
