url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,200,94
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,28,15
/sap/e-mobility-charging-stations-simulator,24,18
/SAP/e-mobility-charging-stations-simulator/issues,20,7
/SAP/e-mobility-charging-stations-simulator/tree/main,16,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,13,5
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,11,6
/SAP/e-mobility-charging-stations-simulator/releases,8,3
/SAP/e-mobility-charging-stations-simulator/pulls,7,7
/SAP/e-mobility-charging-stations-simulator/releases/tag/ocpp-server@v4.11.0,7,7
