url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,160,88
/SAP/e-mobility-charging-stations-simulator/tags,42,2
/sap/e-mobility-charging-stations-simulator,25,21
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,15,6
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,14,9
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,14,6
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config-template.json,10,6
/SAP/e-mobility-charging-stations-simulator/tree/main/src,7,5
/SAP/e-mobility-charging-stations-simulator/issues,6,6
/SAP/e-mobility-charging-stations-simulator/releases/tag/ocpp-server@v4.12.0,6,4
