url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,115,70
/sap/e-mobility-charging-stations-simulator,13,12
/SAP/e-mobility-charging-stations-simulator/tree/main,12,7
/SAP/e-mobility-charging-stations-simulator/issues,10,7
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,9,6
/SAP/e-mobility-charging-stations-simulator/pulls,8,7
/SAP/e-mobility-charging-stations-simulator/blob/main/src/assets/config.json,6,3
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,5,2
/SAP/e-mobility-charging-stations-simulator/blob/main/.github/copilot-instructions.md,4,4
/SAP/e-mobility-charging-stations-simulator/tree/main/src/assets,4,2
